1453646,2.81,-15144,1420,5972
1453685,2.81,-15212,1612,5844
1453723,3.22,-15080,1448,5944
1453762,2.81,-15244,1552,5900
1453800,2.81,-15104,1436,5900
1453839,3.22,-15188,1500,5784
1453878,3.17,-19248,-14096,5108
1453918,2.81,-13748,-4504,4476
1453958,2.66,-17628,4440,6900
1453996,2.86,-18572,1824,5568
1454034,3.12,-17964,2548,6096
1454072,3.43,-15228,2364,6712
1454111,3.94,-13104,1528,6692
1454150,4.51,-13824,1856,6836
1454188,4.20,-14664,1892,6716
1454227,4.46,-14624,2120,5708
1454266,3.79,-15532,2404,4968
1454304,3.84,-15484,2692,5712
1454343,4.05,-14552,2084,5980
1454381,3.48,-13752,368,7556
1454418,3.28,-14524,-944,7572
1454456,2.97,-17744,-7156,8808
1454496,2.92,-15716,-6768,11616
1454537,3.04,-10300,-316,9136
1454575,2.93,-15072,-984,7464
1454614,2.68,-12084,3004,5060
1454652,2.52,-17460,3116,4704
1454691,2.61,-16448,3036,4548
1454729,2.83,-15392,1780,5760
1454768,3.02,-13520,60,7576
1454803,3.07,-12128,572,7932
1454841,2.86,-13980,744,7048
1454878,2.61,-15888,1520,5596
1454917,2.42,-17128,2128,4564
1454955,2.40,-16804,2384,4476
1454994,2.50,-16348,1592,5264
1455032,2.71,-13920,1168,6844
1455071,3.22,-13568,584,7312
1455108,2.81,-14216,908,6880
1455145,2.71,-15408,1716,5688
1455183,2.66,-16456,2192,4720
1455222,2.78,-16724,2268,4488
1455261,2.86,-16028,1832,5004
1455299,3.64,-14580,1168,6076
1455338,3.89,-13296,736,6952
1455375,3.48,-13552,912,6820
1455413,3.79,-14972,1316,6124
1455451,3.17,-16108,2104,5056
1455490,3.12,-16300,2192,4388
1455527,3.12,-16064,1932,5020
1455566,3.64,-15004,1340,6072
1455605,3.64,-13704,668,7056
1455642,3.64,-13520,988,6992
1455680,3.02,-14692,1504,6400
1455718,2.73,-16056,2020,5276
1455757,2.57,-16196,2508,4668
1455795,2.57,-17168,1484,5632
1455834,2.66,-15288,1240,6304
1455872,3.22,-13984,208,7544
1455909,3.22,-13916,120,7912
1455946,2.68,-14068,716,7112
1455984,2.52,-13656,2440,4884
1456022,2.35,-15692,2752,4696
1456061,2.71,-16988,2208,4516
1456099,2.81,-15972,1664,5360
1456138,2.56,-14068,1976,6016
1456176,2.68,-15200,252,6468
